phc2sys[7941677.135]: CLOCK_REALTIME phc offset    -53742 s0 freq  +10469 delay   2157
phc2sys[7941678.136]: CLOCK_REALTIME phc offset    -53849 s1 freq  +10362 delay   2231
phc2sys[7941679.136]: CLOCK_REALTIME phc offset        58 s2 freq  +10420 delay   2231
phc2sys[7941680.137]: CLOCK_REALTIME phc offset        18 s2 freq  +10397 delay   2263
phc2sys[7941681.137]: CLOCK_REALTIME phc offset       -49 s2 freq  +10336 delay   2371
phc2sys[7941682.137]: CLOCK_REALTIME phc offset        40 s2 freq  +10410 delay   2336
phc2sys[7941683.138]: CLOCK_REALTIME phc offset        15 s2 freq  +10397 delay   2380
phc2sys[7941684.138]: CLOCK_REALTIME phc offset        31 s2 freq  +10418 delay   2365
phc2sys[7941685.138]: CLOCK_REALTIME phc offset        48 s2 freq  +10444 delay   2365
phc2sys[7941686.139]: CLOCK_REALTIME phc offset         3 s2 freq  +10413 delay   2370
phc2sys[7941687.139]: CLOCK_REALTIME phc offset         7 s2 freq  +10418 delay   2371
phc2sys[7941688.139]: CLOCK_REALTIME phc offset      -206 s2 freq  +10207 delay   1909
phc2sys[7941689.140]: CLOCK_REALTIME phc offset       201 s2 freq  +10553 delay   2375
phc2sys[7941690.140]: CLOCK_REALTIME phc offset        50 s2 freq  +10462 delay   2370
phc2sys[7941691.140]: CLOCK_REALTIME phc offset         9 s2 freq  +10436 delay   2325
phc2sys[7941692.141]: CLOCK_REALTIME phc offset       -18 s2 freq  +10412 delay   2370
phc2sys[7941693.141]: CLOCK_REALTIME phc offset         3 s2 freq  +10427 delay   2325
phc2sys[7941694.141]: CLOCK_REALTIME phc offset       -43 s2 freq  +10382 delay   2375
phc2sys[7941695.142]: CLOCK_REALTIME phc offset         0 s2 freq  +10412 delay   2366
phc2sys[7941696.142]: CLOCK_REALTIME phc offset        13 s2 freq  +10425 delay   2325
phc2sys[7941697.142]: CLOCK_REALTIME phc offset      -231 s2 freq  +10185 delay   1899
phc2sys[7941698.143]: CLOCK_REALTIME phc offset       221 s2 freq  +10568 delay   2330
phc2sys[7941699.143]: CLOCK_REALTIME phc offset        16 s2 freq  +10429 delay   2375
phc2sys[7941700.144]: CLOCK_REALTIME phc offset        -5 s2 freq  +10413 delay   2366
phc2sys[7941701.144]: CLOCK_REALTIME phc offset         0 s2 freq  +10416 delay   2371
phc2sys[7941702.144]: CLOCK_REALTIME phc offset        18 s2 freq  +10434 delay   2320
phc2sys[7941703.145]: CLOCK_REALTIME phc offset       -44 s2 freq  +10378 delay   2331
phc2sys[7941704.145]: CLOCK_REALTIME phc offset        -6 s2 freq  +10403 delay   2375
phc2sys[7941705.145]: CLOCK_REALTIME phc offset        -9 s2 freq  +10398 delay   2376
phc2sys[7941706.146]: CLOCK_REALTIME phc offset        57 s2 freq  +10461 delay   2330
phc2sys[7941707.146]: CLOCK_REALTIME phc offset      -244 s2 freq  +10177 delay   1955
phc2sys[7941708.146]: CLOCK_REALTIME phc offset       199 s2 freq  +10547 delay   2376
phc2sys[7941709.147]: CLOCK_REALTIME phc offset        64 s2 freq  +10472 delay   2335
phc2sys[7941710.147]: CLOCK_REALTIME phc offset      -231 s2 freq  +10196 delay   1945
phc2sys[7941711.147]: CLOCK_REALTIME phc offset       233 s2 freq  +10591 delay   2325
phc2sys[7941712.148]: CLOCK_REALTIME phc offset        23 s2 freq  +10450 delay   2370
phc2sys[7941713.148]: CLOCK_REALTIME phc offset      -238 s2 freq  +10196 delay   1944
phc2sys[7941714.149]: CLOCK_REALTIME phc offset       188 s2 freq  +10551 delay   2366
phc2sys[7941715.149]: CLOCK_REALTIME phc offset        36 s2 freq  +10455 delay   2375
phc2sys[7941716.149]: CLOCK_REALTIME phc offset       -11 s2 freq  +10419 delay   2370
phc2sys[7941717.150]: CLOCK_REALTIME phc offset        26 s2 freq  +10453 delay   2330
phc2sys[7941718.150]: CLOCK_REALTIME phc offset       -29 s2 freq  +10406 delay   2326
phc2sys[7941719.150]: CLOCK_REALTIME phc offset       -68 s2 freq  +10358 delay   2375
phc2sys[7941720.151]: CLOCK_REALTIME phc offset       -15 s2 freq  +10391 delay   2370
phc2sys[7941721.151]: CLOCK_REALTIME phc offset       -21 s2 freq  +10380 delay   2376
phc2sys[7941722.151]: CLOCK_REALTIME phc offset        11 s2 freq  +10406 delay   2371
phc2sys[7941723.152]: CLOCK_REALTIME phc offset        14 s2 freq  +10412 delay   2376
phc2sys[7941724.152]: CLOCK_REALTIME phc offset         7 s2 freq  +10409 delay   2365
phc2sys[7941725.153]: CLOCK_REALTIME phc offset        15 s2 freq  +10419 delay   2371
phc2sys[7941726.153]: CLOCK_REALTIME phc offset         7 s2 freq  +10416 delay   2321
phc2sys[7941727.153]: CLOCK_REALTIME phc offset       -29 s2 freq  +10382 delay   2376
phc2sys[7941728.154]: CLOCK_REALTIME phc offset        24 s2 freq  +10426 delay   2325
phc2sys[7941729.154]: CLOCK_REALTIME phc offset        12 s2 freq  +10421 delay   2330
