ptp4l[7346664.276]: selected /dev/ptp0 as PTP clock
ptp4l[7346664.278]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346664.278]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346666.067]: port 1: new foreign master 507c6f.fffe.15e1cf-1
ptp4l[7346670.067]: selected best master clock 507c6f.fffe.15e1cf
ptp4l[7346670.067]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[7346671.068]: master offset        -40 s0 freq  +11029 path delay      1471
ptp4l[7346672.068]: master offset        -38 s2 freq  +11031 path delay      1471
ptp4l[7346672.068]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[7346673.067]: master offset        -41 s2 freq  +10990 path delay      1471
ptp4l[7346674.067]: master offset         -7 s2 freq  +11012 path delay      1471
ptp4l[7346675.067]: master offset         13 s2 freq  +11030 path delay      1471
ptp4l[7346676.067]: master offset          2 s2 freq  +11022 path delay      1468
ptp4l[7346677.067]: master offset          5 s2 freq  +11026 path delay      1467
ptp4l[7346678.067]: master offset          2 s2 freq  +11025 path delay      1467
ptp4l[7346679.067]: master offset         -6 s2 freq  +11017 path delay      1467
ptp4l[7346680.067]: master offset          1 s2 freq  +11022 path delay      1466
ptp4l[7346681.067]: master offset          4 s2 freq  +11026 path delay      1466
ptp4l[7346682.067]: master offset          9 s2 freq  +11032 path delay      1466
ptp4l[7346683.067]: master offset        -12 s2 freq  +11014 path delay      1466
ptp4l[7346684.067]: master offset         -4 s2 freq  +11018 path delay      1466
ptp4l[7346685.067]: master offset         20 s2 freq  +11041 path delay      1464
ptp4l[7346686.067]: master offset         -7 s2 freq  +11020 path delay      1465
ptp4l[7346687.067]: master offset         -8 s2 freq  +11017 path delay      1463
ptp4l[7346688.067]: master offset          6 s2 freq  +11028 path delay      1463
ptp4l[7346689.067]: master offset         12 s2 freq  +11036 path delay      1462
ptp4l[7346690.067]: master offset          7 s2 freq  +11035 path delay      1462
ptp4l[7346691.067]: master offset          4 s2 freq  +11034 path delay      1463
ptp4l[7346692.067]: master offset        -16 s2 freq  +11015 path delay      1464
ptp4l[7346693.067]: master offset         -5 s2 freq  +11021 path delay      1463
ptp4l[7346694.068]: master offset          9 s2 freq  +11034 path delay      1463
ptp4l[7346695.068]: master offset         -9 s2 freq  +11018 path delay      1463
ptp4l[7346696.068]: master offset          6 s2 freq  +11031 path delay      1463
ptp4l[7346697.068]: master offset         -2 s2 freq  +11024 path delay      1465
ptp4l[7346698.068]: master offset          4 s2 freq  +11030 path delay      1465
ptp4l[7346699.068]: master offset         -9 s2 freq  +11018 path delay      1465
ptp4l[7346700.068]: master offset          4 s2 freq  +11028 path delay      1465
ptp4l[7346701.068]: master offset         10 s2 freq  +11036 path delay      1464
ptp4l[7346702.068]: master offset          5 s2 freq  +11034 path delay      1464
ptp4l[7346703.068]: master offset        -14 s2 freq  +11016 path delay      1465
ptp4l[7346704.068]: master offset         -7 s2 freq  +11019 path delay      1465
ptp4l[7346705.068]: master offset         -1 s2 freq  +11023 path delay      1464
ptp4l[7346706.068]: master offset          0 s2 freq  +11023 path delay      1464
ptp4l[7346707.068]: master offset          1 s2 freq  +11024 path delay      1464
ptp4l[7346708.067]: master offset          4 s2 freq  +11028 path delay      1464
ptp4l[7346709.067]: master offset          1 s2 freq  +11026 path delay      1464
ptp4l[7346710.067]: master offset          6 s2 freq  +11031 path delay      1464
ptp4l[7346711.067]: master offset        -10 s2 freq  +11017 path delay      1465
ptp4l[7346712.067]: master offset         13 s2 freq  +11037 path delay      1464
ptp4l[7346713.067]: master offset          9 s2 freq  +11037 path delay      1464
ptp4l[7346714.067]: master offset        -14 s2 freq  +11017 path delay      1465
ptp4l[7346715.067]: master offset          2 s2 freq  +11028 path delay      1465
ptp4l[7346716.067]: master offset         11 s2 freq  +11038 path delay      1466
ptp4l[7346717.067]: master offset         -3 s2 freq  +11027 path delay      1467
ptp4l[7346718.067]: master offset         -7 s2 freq  +11022 path delay      1467
ptp4l[7346719.067]: master offset          4 s2 freq  +11031 path delay      1466
ptp4l[7346720.067]: master offset         12 s2 freq  +11041 path delay      1466
ptp4l[7346721.067]: master offset         -4 s2 freq  +11028 path delay      1466
ptp4l[7346722.067]: master offset         -1 s2 freq  +11030 path delay      1466
ptp4l[7346723.067]: master offset        -15 s2 freq  +11016 path delay      1466
ptp4l[7346724.067]: master offset         -2 s2 freq  +11024 path delay      1465
ptp4l[7346725.067]: master offset         10 s2 freq  +11036 path delay      1465
ptp4l[7346726.067]: master offset          6 s2 freq  +11035 path delay      1465
ptp4l[7346727.067]: master offset        -12 s2 freq  +11018 path delay      1465
ptp4l[7346728.067]: master offset         -7 s2 freq  +11020 path delay      1465
ptp4l[7346729.067]: master offset          5 s2 freq  +11030 path delay      1465
ptp4l[7346730.067]: master offset         -2 s2 freq  +11024 path delay      1466
ptp4l[7346731.067]: master offset         -2 s2 freq  +11024 path delay      1466
ptp4l[7346732.067]: master offset        -10 s2 freq  +11015 path delay      1466
ptp4l[7346733.067]: master offset         -8 s2 freq  +11014 path delay      1466
ptp4l[7346734.067]: master offset         17 s2 freq  +11037 path delay      1466
ptp4l[7346735.067]: master offset        -11 s2 freq  +11014 path delay      1466
ptp4l[7346736.067]: master offset         -2 s2 freq  +11019 path delay      1466
ptp4l[7346737.067]: master offset         -5 s2 freq  +11016 path delay      1466
ptp4l[7346738.067]: master offset         -7 s2 freq  +11012 path delay      1465
ptp4l[7346739.067]: master offset          1 s2 freq  +11018 path delay      1465
ptp4l[7346740.067]: master offset          5 s2 freq  +11022 path delay      1465
ptp4l[7346741.067]: master offset         -9 s2 freq  +11010 path delay      1465
ptp4l[7346742.067]: master offset         -2 s2 freq  +11014 path delay      1464
ptp4l[7346743.067]: master offset          0 s2 freq  +11016 path delay      1464
ptp4l[7346744.067]: master offset         -8 s2 freq  +11008 path delay      1464
ptp4l[7346745.067]: master offset          0 s2 freq  +11013 path delay      1464
ptp4l[7346746.067]: master offset         -6 s2 freq  +11007 path delay      1464
ptp4l[7346747.067]: master offset          3 s2 freq  +11014 path delay      1464
ptp4l[7346748.067]: master offset          4 s2 freq  +11016 path delay      1464
ptp4l[7346749.067]: master offset        -13 s2 freq  +11001 path delay      1465
ptp4l[7346750.067]: master offset          2 s2 freq  +11012 path delay      1465
ptp4l[7346751.067]: master offset         15 s2 freq  +11025 path delay      1465
ptp4l[7346752.067]: master offset        -11 s2 freq  +11004 path delay      1465
ptp4l[7346753.067]: master offset          1 s2 freq  +11012 path delay      1465
ptp4l[7346754.067]: master offset          4 s2 freq  +11016 path delay      1465
ptp4l[7346755.067]: master offset         14 s2 freq  +11027 path delay      1464
ptp4l[7346756.068]: master offset        -16 s2 freq  +11001 path delay      1464
ptp4l[7346757.068]: master offset         -2 s2 freq  +11010 path delay      1464
ptp4l[7346758.068]: master offset         13 s2 freq  +11025 path delay      1462
ptp4l[7346759.068]: master offset         -4 s2 freq  +11012 path delay      1462
ptp4l[7346760.068]: master offset         -8 s2 freq  +11006 path delay      1463
ptp4l[7346761.068]: master offset          2 s2 freq  +11014 path delay      1462
ptp4l[7346762.068]: master offset         -4 s2 freq  +11009 path delay      1462
ptp4l[7346763.068]: master offset         12 s2 freq  +11023 path delay      1461
ptp4l[7346764.068]: master offset         -2 s2 freq  +11013 path delay      1461
ptp4l[7346765.068]: master offset          6 s2 freq  +11020 path delay      1461
ptp4l[7346766.068]: master offset          2 s2 freq  +11018 path delay      1461
ptp4l[7346767.068]: master offset         -2 s2 freq  +11015 path delay      1463
ptp4l[7346768.068]: master offset         -1 s2 freq  +11015 path delay      1463
ptp4l[7346769.068]: master offset          0 s2 freq  +11016 path delay      1463
ptp4l[7346770.068]: master offset          8 s2 freq  +11024 path delay      1463
ptp4l[7346771.068]: master offset         -9 s2 freq  +11009 path delay      1464
ptp4l[7346772.068]: master offset         -4 s2 freq  +11012 path delay      1464
ptp4l[7346773.068]: master offset          1 s2 freq  +11015 path delay      1464
ptp4l[7346774.068]: master offset          1 s2 freq  +11016 path delay      1464
ptp4l[7346775.068]: master offset          9 s2 freq  +11024 path delay      1464
ptp4l[7346776.068]: master offset         -8 s2 freq  +11010 path delay      1465
ptp4l[7346777.068]: master offset         -1 s2 freq  +11014 path delay      1464
ptp4l[7346778.068]: master offset          8 s2 freq  +11023 path delay      1464
ptp4l[7346779.068]: master offset          2 s2 freq  +11019 path delay      1464
ptp4l[7346780.068]: master offset          6 s2 freq  +11024 path delay      1464
ptp4l[7346781.068]: master offset        -10 s2 freq  +11010 path delay      1464
