ptp4l[7346717.248]: selected /dev/ptp1 as PTP clock
ptp4l[7346717.249]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346717.249]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346718.368]: port 1: new foreign master 507c6f.fffe.15e1cf-1
ptp4l[7346722.368]: selected best master clock 507c6f.fffe.15e1cf
ptp4l[7346722.368]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[7346723.368]: master offset          0 s0 freq   +6386 path delay      2679
ptp4l[7346724.368]: master offset          5 s2 freq   +6391 path delay      2679
ptp4l[7346724.368]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[7346725.368]: master offset        -26 s2 freq   +6365 path delay      2679
ptp4l[7346726.368]: master offset          9 s2 freq   +6392 path delay      2671
ptp4l[7346727.368]: master offset         -7 s2 freq   +6379 path delay      2671
ptp4l[7346728.368]: master offset         -4 s2 freq   +6380 path delay      2673
ptp4l[7346729.368]: master offset          0 s2 freq   +6383 path delay      2674
ptp4l[7346730.368]: master offset          8 s2 freq   +6391 path delay      2674
ptp4l[7346731.368]: master offset          3 s2 freq   +6388 path delay      2674
ptp4l[7346732.368]: master offset         -3 s2 freq   +6383 path delay      2675
ptp4l[7346733.368]: master offset         -3 s2 freq   +6382 path delay      2676
ptp4l[7346734.368]: master offset          6 s2 freq   +6390 path delay      2677
ptp4l[7346735.368]: master offset        -16 s2 freq   +6370 path delay      2677
ptp4l[7346736.368]: master offset          8 s2 freq   +6389 path delay      2675
ptp4l[7346737.368]: master offset          1 s2 freq   +6384 path delay      2677
ptp4l[7346738.368]: master offset         10 s2 freq   +6394 path delay      2675
ptp4l[7346739.368]: master offset        -15 s2 freq   +6372 path delay      2675
ptp4l[7346740.368]: master offset         -4 s2 freq   +6378 path delay      2675
ptp4l[7346741.368]: master offset          3 s2 freq   +6384 path delay      2675
ptp4l[7346742.369]: master offset        -16 s2 freq   +6366 path delay      2676
ptp4l[7346743.368]: master offset          2 s2 freq   +6379 path delay      2676
ptp4l[7346744.368]: master offset          6 s2 freq   +6384 path delay      2676
ptp4l[7346745.368]: master offset         -8 s2 freq   +6372 path delay      2676
ptp4l[7346746.369]: master offset          3 s2 freq   +6380 path delay      2676
ptp4l[7346747.368]: master offset         -3 s2 freq   +6375 path delay      2679
ptp4l[7346748.368]: master offset         -2 s2 freq   +6375 path delay      2679
ptp4l[7346749.368]: master offset         -1 s2 freq   +6376 path delay      2679
ptp4l[7346750.369]: master offset         -3 s2 freq   +6373 path delay      2681
ptp4l[7346751.368]: master offset        -16 s2 freq   +6359 path delay      2680
ptp4l[7346752.368]: master offset          1 s2 freq   +6372 path delay      2680
ptp4l[7346753.368]: master offset         -3 s2 freq   +6368 path delay      2680
ptp4l[7346754.368]: master offset        -19 s2 freq   +6351 path delay      2680
ptp4l[7346755.368]: master offset          6 s2 freq   +6370 path delay      2680
ptp4l[7346756.368]: master offset         -5 s2 freq   +6361 path delay      2681
ptp4l[7346757.368]: master offset        -21 s2 freq   +6344 path delay      2681
ptp4l[7346758.368]: master offset          3 s2 freq   +6361 path delay      2681
ptp4l[7346759.368]: master offset         10 s2 freq   +6369 path delay      2681
ptp4l[7346760.368]: master offset        -16 s2 freq   +6346 path delay      2681
ptp4l[7346761.368]: master offset         -9 s2 freq   +6348 path delay      2681
ptp4l[7346762.368]: master offset         18 s2 freq   +6373 path delay      2681
ptp4l[7346763.368]: master offset          6 s2 freq   +6366 path delay      2681
ptp4l[7346764.368]: master offset         -1 s2 freq   +6361 path delay      2681
ptp4l[7346765.368]: master offset          8 s2 freq   +6370 path delay      2679
ptp4l[7346766.368]: master offset         -2 s2 freq   +6362 path delay      2679
ptp4l[7346767.368]: master offset         -2 s2 freq   +6361 path delay      2678
ptp4l[7346768.368]: master offset         -5 s2 freq   +6358 path delay      2679
ptp4l[7346769.368]: master offset          6 s2 freq   +6367 path delay      2679
ptp4l[7346770.368]: master offset         -9 s2 freq   +6354 path delay      2678
ptp4l[7346771.368]: master offset         -3 s2 freq   +6357 path delay      2678
ptp4l[7346772.368]: master offset          0 s2 freq   +6359 path delay      2679
ptp4l[7346773.368]: master offset         -1 s2 freq   +6358 path delay      2679
ptp4l[7346774.368]: master offset         -1 s2 freq   +6358 path delay      2680
ptp4l[7346775.368]: master offset         -7 s2 freq   +6352 path delay      2680
ptp4l[7346776.368]: master offset          2 s2 freq   +6359 path delay      2679
ptp4l[7346777.368]: master offset          3 s2 freq   +6360 path delay      2680
ptp4l[7346778.368]: master offset         -5 s2 freq   +6353 path delay      2679
ptp4l[7346779.368]: master offset         -5 s2 freq   +6352 path delay      2678
ptp4l[7346780.368]: master offset          3 s2 freq   +6358 path delay      2678
ptp4l[7346781.368]: master offset         -3 s2 freq   +6353 path delay      2678
ptp4l[7346782.368]: master offset          3 s2 freq   +6358 path delay      2678
ptp4l[7346783.368]: master offset        -11 s2 freq   +6345 path delay      2678
ptp4l[7346784.368]: master offset         -4 s2 freq   +6349 path delay      2678
ptp4l[7346785.368]: master offset          7 s2 freq   +6359 path delay      2678
ptp4l[7346786.368]: master offset          2 s2 freq   +6356 path delay      2678
ptp4l[7346787.368]: master offset        -11 s2 freq   +6343 path delay      2678
ptp4l[7346788.368]: master offset         -3 s2 freq   +6348 path delay      2678
ptp4l[7346789.368]: master offset         -7 s2 freq   +6343 path delay      2678
ptp4l[7346790.368]: master offset          1 s2 freq   +6349 path delay      2678
ptp4l[7346791.368]: master offset        -11 s2 freq   +6337 path delay      2678
ptp4l[7346792.368]: master offset         -5 s2 freq   +6340 path delay      2678
ptp4l[7346793.368]: master offset          1 s2 freq   +6345 path delay      2676
ptp4l[7346794.368]: master offset        -10 s2 freq   +6334 path delay      2678
ptp4l[7346795.368]: master offset          1 s2 freq   +6342 path delay      2678
ptp4l[7346796.368]: master offset         -7 s2 freq   +6334 path delay      2679
ptp4l[7346797.368]: master offset          6 s2 freq   +6345 path delay      2677
ptp4l[7346798.368]: master offset         -7 s2 freq   +6334 path delay      2680
ptp4l[7346799.368]: master offset         13 s2 freq   +6352 path delay      2679
ptp4l[7346800.368]: master offset        -13 s2 freq   +6330 path delay      2680
ptp4l[7346801.368]: master offset         -4 s2 freq   +6335 path delay      2678
ptp4l[7346802.368]: master offset          5 s2 freq   +6343 path delay      2678
ptp4l[7346803.368]: master offset          1 s2 freq   +6340 path delay      2676
ptp4l[7346804.369]: master offset          1 s2 freq   +6340 path delay      2678
ptp4l[7346805.368]: master offset          6 s2 freq   +6346 path delay      2677
ptp4l[7346806.369]: master offset          4 s2 freq   +6345 path delay      2677
ptp4l[7346807.368]: master offset         -6 s2 freq   +6337 path delay      2678
ptp4l[7346808.368]: master offset         -7 s2 freq   +6334 path delay      2678
ptp4l[7346809.368]: master offset         -5 s2 freq   +6334 path delay      2678
ptp4l[7346810.368]: master offset         -3 s2 freq   +6334 path delay      2678
ptp4l[7346811.368]: master offset         -9 s2 freq   +6327 path delay      2678
ptp4l[7346812.368]: master offset         15 s2 freq   +6349 path delay      2678
ptp4l[7346813.368]: master offset        -13 s2 freq   +6325 path delay      2678
ptp4l[7346814.368]: master offset         -1 s2 freq   +6333 path delay      2676
ptp4l[7346815.368]: master offset          3 s2 freq   +6337 path delay      2675
ptp4l[7346816.369]: master offset          2 s2 freq   +6337 path delay      2675
ptp4l[7346817.368]: master offset          9 s2 freq   +6344 path delay      2675
ptp4l[7346818.368]: master offset         -7 s2 freq   +6331 path delay      2675
ptp4l[7346819.368]: master offset         14 s2 freq   +6350 path delay      2675
ptp4l[7346820.369]: master offset         -1 s2 freq   +6339 path delay      2675
ptp4l[7346821.368]: master offset         -4 s2 freq   +6336 path delay      2675
ptp4l[7346822.368]: master offset         -5 s2 freq   +6334 path delay      2676
ptp4l[7346823.368]: master offset          5 s2 freq   +6342 path delay      2676
ptp4l[7346824.368]: master offset         -9 s2 freq   +6330 path delay      2676
ptp4l[7346825.368]: master offset         12 s2 freq   +6348 path delay      2677
ptp4l[7346826.369]: master offset        -16 s2 freq   +6324 path delay      2677
ptp4l[7346827.368]: master offset         12 s2 freq   +6347 path delay      2677
ptp4l[7346828.369]: master offset          1 s2 freq   +6339 path delay      2677
ptp4l[7346829.368]: master offset          6 s2 freq   +6345 path delay      2677
ptp4l[7346830.369]: master offset         -3 s2 freq   +6338 path delay      2677
ptp4l[7346831.368]: master offset          3 s2 freq   +6343 path delay      2677
ptp4l[7346832.368]: master offset         12 s2 freq   +6353 path delay      2677
ptp4l[7346833.368]: master offset          6 s2 freq   +6350 path delay      2677
ptp4l[7346834.369]: master offset          5 s2 freq   +6351 path delay      2677
ptp4l[7346835.368]: master offset         -1 s2 freq   +6346 path delay      2677
ptp4l[7346836.369]: master offset          4 s2 freq   +6351 path delay      2677
ptp4l[7346837.368]: master offset         -3 s2 freq   +6345 path delay      2677
ptp4l[7346838.369]: master offset          3 s2 freq   +6350 path delay      2677
ptp4l[7346839.368]: master offset          7 s2 freq   +6355 path delay      2675
ptp4l[7346840.368]: master offset          3 s2 freq   +6353 path delay      2675
ptp4l[7346841.368]: master offset         -7 s2 freq   +6344 path delay      2676
ptp4l[7346842.368]: master offset          0 s2 freq   +6349 path delay      2676
ptp4l[7346843.368]: master offset        -15 s2 freq   +6334 path delay      2678
ptp4l[7346844.368]: master offset          4 s2 freq   +6349 path delay      2678
ptp4l[7346845.368]: master offset         15 s2 freq   +6361 path delay      2678
ptp4l[7346846.368]: master offset         -3 s2 freq   +6347 path delay      2678
ptp4l[7346847.368]: master offset         10 s2 freq   +6360 path delay      2678
ptp4l[7346848.368]: master offset          2 s2 freq   +6355 path delay      2678
ptp4l[7346849.368]: master offset         16 s2 freq   +6369 path delay      2678
ptp4l[7346850.368]: master offset        -11 s2 freq   +6347 path delay      2680
ptp4l[7346851.368]: master offset         11 s2 freq   +6366 path delay      2679
ptp4l[7346852.369]: master offset         -3 s2 freq   +6355 path delay      2679
ptp4l[7346853.368]: master offset         -1 s2 freq   +6356 path delay      2674
ptp4l[7346854.368]: master offset         11 s2 freq   +6368 path delay      2674
ptp4l[7346855.368]: master offset         -8 s2 freq   +6352 path delay      2677
ptp4l[7346856.368]: master offset          3 s2 freq   +6361 path delay      2674
ptp4l[7346857.368]: master offset          2 s2 freq   +6361 path delay      2674
ptp4l[7346858.368]: master offset        -10 s2 freq   +6349 path delay      2677
ptp4l[7346859.368]: master offset         -7 s2 freq   +6349 path delay      2677
ptp4l[7346860.368]: master offset          4 s2 freq   +6358 path delay      2677
ptp4l[7346861.368]: master offset         -1 s2 freq   +6354 path delay      2677
ptp4l[7346862.368]: master offset        -14 s2 freq   +6341 path delay      2678
ptp4l[7346863.368]: master offset         13 s2 freq   +6364 path delay      2678
ptp4l[7346864.368]: master offset         10 s2 freq   +6365 path delay      2678
ptp4l[7346865.368]: master offset         -3 s2 freq   +6355 path delay      2678
ptp4l[7346866.368]: master offset         -6 s2 freq   +6351 path delay      2678
ptp4l[7346867.368]: master offset          5 s2 freq   +6360 path delay      2678
ptp4l[7346868.368]: master offset         -6 s2 freq   +6350 path delay      2679
ptp4l[7346869.368]: master offset          4 s2 freq   +6359 path delay      2679
ptp4l[7346870.369]: master offset          5 s2 freq   +6361 path delay      2679
ptp4l[7346871.368]: master offset         -4 s2 freq   +6353 path delay      2679
ptp4l[7346872.368]: master offset         19 s2 freq   +6375 path delay      2679
ptp4l[7346873.368]: master offset        -11 s2 freq   +6351 path delay      2679
ptp4l[7346874.368]: master offset         13 s2 freq   +6372 path delay      2679
ptp4l[7346875.368]: master offset        -17 s2 freq   +6345 path delay      2681
ptp4l[7346876.368]: master offset         -2 s2 freq   +6355 path delay      2681
